feature,importance
lag_1,0.44415996230372945
rolling_mean_4,0.2450592935524103
lag_2,0.1522827715028063
rolling_mean_12,0.07748025952121586
lag_4,0.02755719453796536
lag_9,0.011100353693369099
rolling_std_4,0.010734052505801141
family_log_median,0.006039772796338599
week_of_year_sin,0.004441051885379749
week_of_year_cos,0.004241418203312257
lag_40,0.003206224167603818
lag_12,0.002980196335763179
cluster,0.002380283135872135
month_sin,0.0018755405676031817
month_cos,0.001630824930796105
lag_52,0.001360899140460505
family_volume_tier,0.0006085529316699732
is_holiday,0.0005126209429286036
store_type_D,0.00046259742107036464
store_type_C,0.0004115926425564773
onpromotion_lag1,0.00034422277320251074
store_type_B,0.0002635597314036884
is_national,0.00025983273400583077
store_type_A,0.0002461676848192004
is_regional,0.00020564975817770808
store_type_E,0.00015510459973849973
