feature,mean_abs_shap
lag_1,1.8879248
rolling_mean_12,0.3978936
rolling_mean_4,0.28897202
lag_2,0.18049325
lag_40,0.13654715
lag_4,0.097375415
family_log_median,0.08790605
rolling_std_4,0.044187356
lag_12,0.043640487
lag_9,0.027698308
week_of_year_cos,0.02533698
week_of_year_sin,0.016819127
month_cos,0.007034065
month_sin,0.0068914774
onpromotion_lag1,0.003538263
lag_52,0.0032605226
cluster,0.002883457
is_holiday,0.0023867362
store_type_A,0.0023034876
family_volume_tier,0.0020468293
is_national,0.0019109822
store_type_C,0.0014008661
is_regional,0.00096917024
store_type_B,0.00065854675
store_type_D,0.00021471665
store_type_E,6.133049e-05
